Sling Bullets (20) (4 cp, 1.5 lb)
Sling Bullet (0.2 cp, 0.075 lb)
Crossbow Bolts (20) (1 gp, 1.5 lb)
Crossbow Bolt (5 cp, 0.075 lb)
Blowgun Needles (50) (1 gp, 1 lb)
Blowgun Needle (2 cp, 0.02 lb)
Arrows (20) (1 gp, 1 lb)
Arrow (5 cp, 0.05 lb)
Sling (1 sp, 0.1 lb)
Shortbow (25 gp, 2 lb)
Light Crossbow (25 gp, 5 lb)
Dart (5 cp, 0.25 lb)
Oversized Longbow (50 gp, 2 lb)
Net (1 gp, 3 lb)
Longbow (50 gp, 2 lb)
Light Repeating Crossbow (250 gp, 15 lb)
Heavy Crossbow (50 gp, 18 lb)
Hand Crossbow (75 gp, 3 lb)
Blowgun (10 gp, 1 lb)
Pistol (250 gp, 3 lb)
Musket (100 gp, 10 lb)
Yklwa (1 gp, 3 lb)
Spear (1 gp, 3 lb)
Sickle (1 gp, 2 lb)
Mace (5 gp, 4 lb)
Light Hammer (2 gp, 2 lb)
Javelin (5 sp, 2 lb)
Handaxe (5 gp, 2 lb)
Greatclub (2 sp, 10 lb)
Dagger (2 gp, 1 lb)
Quarterstaff (2 sp, 4 lb)
Club (1 sp, 2 lb)
Whip (2 gp, 3 lb)
Mind Lash (502 gp, 3 lb)
Warhammer (15 gp, 2 lb)
War Pick (5 gp, 2 lb)
Trident (5 gp, 4 lb)
Shortsword (10 gp, 2 lb)
Scimitar (25 gp, 3 lb)
Rapier (25 gp, 2 lb)
Pike (5 gp, 18 lb)
Morningstar (15 gp, 4 lb)
Maul (10 gp, 10 lb)
Longsword (15 gp, 3 lb)
Lance (10 gp, 6 lb)
Halberd (20 gp, 6 lb)
Greatsword (50 gp, 6 lb)
Greataxe (30 gp, 7 lb)
Glaive (20 gp, 6 lb)
Flail (10 gp, 2 lb)
Double-Bladed Scimitar (100 gp, 6 lb)
Battleaxe (10 gp, 4 lb)
Shield (10 gp, 6 lb)
Studded Leather Armor (45 gp, 13 lb)
Padded Armor (5 gp, 8 lb)
Leather Armor (10 gp, 10 lb)
Spiked Armor (75 gp, 45 lb)
Scale Mail (50 gp, 45 lb)
Hide Armor (10 gp, 12 lb)
Half Plate Armor (750 gp, 40 lb)
Chain Shirt (50 gp, 20 lb)
Breastplate (400 gp, 20 lb)
Splint Armor (200 gp, 60 lb)
Ring Mail (30 gp, 40 lb)
Plate Armor (1500 gp, 65 lb)
Chain Mail (75 gp, 55 lb)
Zulkoon (1 gp, 0.1 lb)
Yarting (1 gp, 0.1 lb)
Wargong (1 gp, 0.1 lb)
Viol (30 gp, 1 lb)
Tocken (1 gp, 0.1 lb)
Thelarr (1 gp, 0.1 lb)
Tantan (1 gp, 0.1 lb)
Songhorn (1 gp, 0.1 lb)
Shawm (2 gp, 1 lb)
Pan Flute (12 gp, 2 lb)
Lyre (30 gp, 2 lb)
Lute (35 gp, 2 lb)
Longhorn (1 gp, 0.1 lb)
Horn (3 gp, 2 lb)
Hand Drum (1 gp, 0.1 lb)
Glaur (1 gp, 0.1 lb)
Flute (2 gp, 1 lb)
Dulcimer (25 gp, 10 lb)
Drum (6 gp, 3 lb)
Birdpipes (1 gp, 0.1 lb)
Bagpipes (30 gp, 6 lb)
Wyvern Poison (Injury) (1200 gp, 0.1 lb)
Truth Serum (Ingested) (150 gp, 0.1 lb)
Torpor (Ingested) (600 gp, 0.1 lb)
Serpent Venom (Injury) (200 gp, 0.1 lb)
Purple Worm Poison (Injury) (2000 gp, 0.1 lb)
Pale Tincture (Ingested) (250 gp, 0.1 lb)
Oil of Taggit (Contact) (400 gp, 0.1 lb)
Midnight Tears (Ingested) (1500 gp, 0.1 lb)
Malice (Inhaled) (250 gp, 0.1 lb)
Essence of Ether (Inhaled) (300 gp, 0.1 lb)
Drow Poison (Injury) (200 gp, 0.1 lb)
Carrion Crawler Mucus (Contact) (200 gp, 0.1 lb)
Burnt Othur Fumes (Inhaled) (500 gp, 0.1 lb)
Basic Poison (vial) (100 gp, 0.1 lb)
Assassin's Blood (Ingested) (150 gp, 0.1 lb)
Wooden Staff (5 gp, 4 lb)
